Metric,Value
timing__unannotated_net__count__corner:max_ss_100C_1v60,669
timing__unannotated_net_filtered__count__corner:max_ss_100C_1v60,0
design__max_slew_violation__count__corner:max_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:max_ff_n40C_1v95,0
design__max_cap_violation__count__corner:max_ff_n40C_1v95,105
clock__skew__worst_hold__corner:max_ff_n40C_1v95,-0.662904860878504
clock__skew__worst_setup__corner:max_ff_n40C_1v95,0.5866999274691278
timing__hold__ws__corner:max_ff_n40C_1v95,0.04514855284089982
timing__setup__ws__corner:max_ff_n40C_1v95,6.585606912870472
timing__hold__tns__corner:max_ff_n40C_1v95,0.0
timing__setup__tns__corner:max_ff_n40C_1v95,0.0
timing__hold__wns__corner:max_ff_n40C_1v95,0
timing__setup__wns__corner:max_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:max_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:max_ff_n40C_1v95,0.045149
timing__hold_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:max_ff_n40C_1v95,6.585607
timing__setup_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count__corner:max_ff_n40C_1v95,669
timing__unannotated_net_filtered__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count,669
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:vccd1__corner:nom_tt_025C_1v80,1.79944
design_powergrid__drop__average__net:vccd1__corner:nom_tt_025C_1v80,1.79999
design_powergrid__drop__worst__net:vccd1__corner:nom_tt_025C_1v80,0.00055839
design_powergrid__voltage__worst__net:vssd1__corner:nom_tt_025C_1v80,0.000554352
design_powergrid__drop__average__net:vssd1__corner:nom_tt_025C_1v80,0.00000874187
design_powergrid__drop__worst__net:vssd1__corner:nom_tt_025C_1v80,0.000554352
design_powergrid__voltage__worst,0.000554352
design_powergrid__voltage__worst__net:vccd1,1.79944
design_powergrid__drop__worst,0.00055839
design_powergrid__drop__worst__net:vccd1,0.00055839
design_powergrid__voltage__worst__net:vssd1,0.000554352
design_powergrid__drop__worst__net:vssd1,0.000554352
ir__voltage__worst,1.8000000000000000444089209850062616169452667236328125
ir__drop__avg,0.000008470000000000000220227482083945602653329842723906040191650390625
ir__drop__worst,0.000558000000000000010748346657152296756976284086704254150390625
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
