net,length_um
_06768_,325.68
_07736_,325.525
_10102_,325.5
stage8_inst.in0\[9\],325.46
_11839_,325.06
stage8_inst.in5\[31\],324.98
stage8_inst.in4\[10\],324.13
_07151_,323.6
_07722_,323.13
_04807_,323.08
stage8_inst.in1\[6\],322.55
stage8_inst.in1\[4\],322.36
stage8_inst.in4\[8\],322.12
stage8_inst.in5\[30\],322.06
_09536_,322.04
stage8_inst.in1\[26\],322
_03581_,321.86
clknet_5_14__leaf_clk,320.72
stage8_inst.in4\[18\],320.14
stage8_inst.in2\[22\],319.92
_03040_,319.44
_10630_,319.08
_06965_,319
stage8_inst.in1\[13\],317.22
_06815_,317.18
_03084_,317.08
stage8_inst.in5\[22\],317.06
stage8_inst.in4\[26\],316.38
stage8_inst.in3\[13\],315.885
stage8_inst.in7\[13\],315.82
stage8_inst.in4\[17\],314.58
stage8_inst.in3\[10\],314.42
stage8_inst.in3\[12\],314.285
_09520_,313.71
_10131_,313.3
_07670_,312.98
stage8_inst.in5\[19\],312.7
stage8_inst.in1\[14\],312.54
stage8_inst.in1\[3\],312.32
stage8_inst.in5\[6\],312.27
stage8_inst.in5\[26\],311.8
_07910_,311.7
stage8_inst.in7\[15\],311.5
_04604_,311.42
_09543_,311.18
net430,310.71
stage8_inst.in5\[29\],310.32
stage8_inst.in3\[15\],310.09
_10604_,309.715
stage8_inst.in1\[18\],309.48
_02811_,308.76
stage8_inst.in1\[25\],308.42
_07679_,308.14
_04636_,308
_07704_,307.88
stage8_inst.in4\[24\],307.66
_10096_,307.62
_07960_,307.33
_07865_,307.28
stage8_inst.in4\[16\],306.84
_08223_,305.76
stage8_inst.in5\[24\],305.49
_06687_,305.02
_08785_,304.74
stage8_inst.in7\[16\],304.04
stage8_inst.in6\[18\],303.94
_11724_,303.78
_02641_,302.87
stage8_inst.in0\[14\],302.6
stage8_inst.in1\[17\],301.96
_10618_,300.87
_07735_,300.38
_04638_,300.24
_08000_,300.1
_03091_,299.56
_02869_,299.38
stage8_inst.in5\[18\],299.14
_10108_,298.36
_07660_,298.32
stage8_inst.in4\[13\],297.86
stage8_inst.in4\[27\],297.76
_07680_,297.32
net150,296.96
_04523_,295.64
_04549_,295.4
_02549_,295.38
_10194_,295.025
_08197_,294.24
_07014_,294.18
stage8_inst.in4\[23\],293.3
stage8_inst.in1\[20\],293.28
_05034_,292.57
_04790_,292.24
net328,292.22
_05009_,291.28
_10417_,291.26
_04640_,290.82
_05766_,290.82
stage8_inst.in4\[11\],290.43
_03988_,290.42
_04801_,290.16
stage8_inst.in5\[25\],289.72
stage8_inst.in7\[11\],289.36
_11989_,289.08
stage8_inst.in4\[14\],288.88
_05368_,287.66
_04526_,287.165
stage8_inst.in1\[15\],287.14
_07691_,286.94
stage8_inst.in4\[28\],286.435
_07955_,286.18
_06324_,285.8
stage8_inst.in7\[8\],285.46
_07681_,285.2
stage8_inst.in5\[2\],285.16
_07728_,284.82
stage8_inst.in4\[12\],284.34
stage8_inst.in7\[12\],283.26
stage8_inst.in4\[7\],283.04
_07659_,282.9
_03443_,282.62
stage8_inst.in4\[9\],282.15
stage8_inst.in1\[2\],282.08
_05047_,282.07
_08834_,282.06
_00021_,281.68
_07730_,281.56
stage8_inst.in2\[20\],281.28
clknet_5_22__leaf_clk,281.18
_06199_,281.015
_07771_,280.955
stage8_inst.in5\[1\],280.78
_04806_,279.86
net236,279.44
stage8_inst.in4\[29\],279.24
_08937_,279.22
stage8_inst.in7\[9\],278.74
stage8_inst.in2\[19\],276.88
net146,276.86
_07706_,276.4
_06445_,275.8
_11030_,275.78
_07674_,275.2
_05430_,274.99
_07164_,274.73
_10062_,274.2
stage8_inst.in0\[15\],273.5
_07723_,273.02
_04384_,271.94
_02643_,271.86
stage8_inst.in5\[0\],271.48
_05036_,271.385
stage8_inst.in1\[0\],270.9
stage8_inst.in7\[10\],270.88
_05275_,270.72
net165,270.52
_07754_,269.02
_10448_,268.22
stage8_inst.in7\[7\],267.92
_11997_,267.35
_00027_,267.025
_10412_,266.975
net429,266.96
_07687_,266.72
